word,clicks,impressions,cost,convertedClicks
obtaincopyofbirthcerticate,1,2,1.86,0,
bates,5,7,3.36,0,
osment,1,1,0.45,0,
sossaman,1,1,0.12,0,
yasmeen,1,1,0.14,0,
everything,3,69,1.99,0,
camden,15,21,14.479999999999999,0,
glatz,1,1,0.69,0,
zero,1,2,0.95,0,
secallus,1,1,0.57,0,
stanford,2,2,1.54,0,
dray,1,1,1.62,0,
anden,1,1,0.58,0,
kinman,1,1,0.55,0,
selmeyer,1,2,0.94,0,
yourself,3,5,2.89,0,
working,1,1,0.21,0,
capricorn,1,1,0.84,0,
vandiver,1,1,0.42,0,
danca,1,1,0.32,0,
nijae,2,2,2.15,0,
jandreau,1,2,0.29,0,
whittamore,1,2,1.94,0,
wrentham,1,1,0.1,0,
posoal,1,1,0.77,0,
gabrielle,4,5,5.45,0,
sylvan,1,1,0.15,0,
gabriella,3,4,1.79,0,
keagan,2,3,0.69,0,
lehmann,1,1,0.84,0,
shabow,1,2,0.77,0,
gelman,2,2,1.4100000000000001,0,
negron,1,1,0.44,0,
visual,1,1,0.77,0,
brannon,1,1,0.8,0,
findimg,2,1,1.18,0,
mordecai,1,1,0.52,0,
keren,1,1,0.44,1,
fonseca,1,3,0.7,0,
kapner,1,1,0.39,0,
dance,1,2,0.26,0,
culture,1,1,0.6,0,
kwame,1,3,0.07,0,
whitbey,1,1,0.9,0,
orsini,1,1,1.37,0,
paraskevi,1,2,0.47,0,
arkanasas,1,1,1.24,0,
samara,2,4,1.4,0,
gettysburg,1,0,1.32,0,
staley,4,4,3.1900000000000004,0,
angleberger,0,1,0.0,0,
prof,1,1,0.17,0,
regestry,2,1,2.1,0,
donahue,3,6,1.27,0,
dando,1,1,0.53,0,
weber,11,14,7.42,0,
ramette,1,1,1.56,0,
freebirthcertificate,1,3,1.41,0,
mocavo,1,3,1.83,0,
kilfoil,1,1,0.71,0,
prov,1,1,1.0,0,
landers,1,1,2.08,0,
wynkoop,1,1,1.16,0,
seddon,1,1,1.26,0,
parmley,1,1,0.52,0,
pron,1,1,0.63,0,
antwon,2,2,2.23,0,
lysenko,1,2,1.72,0,
tillery,1,2,0.75,0,
geddes,1,1,1.37,0,
leckar,1,2,0.91,0,
alexus,1,2,1.68,0,
amended,5,25,6.07,0,
danes,1,3,0.77,0,
lohman,1,1,0.41,0,
brother,31,63,45.8,1,
deacon,1,1,0.88,0,
zeta,1,1,0.3,0,
picard,1,1,1.0,0,
crigger,1,1,0.74,0,
rockwell,1,0,1.45,0,
cristle,1,1,0.88,0,
dbtrack,2,2,0.92,0,
labracio,1,2,0.23,0,
patent,1,1,0.39,0,
marroquin,1,1,0.6,0,
suri,1,1,0.29,0,
sammy,2,3,0.8,0,
caddell,3,1,2.1799999999999997,0,
drew,9,18,9.45,0,
christenberry,1,1,0.66,0,
purta,1,1,0.52,0,
treangenn,1,1,0.28,0,
oberman,1,1,0.4,0,
omansky,1,1,0.43,0,
mahoney,4,6,2.95,0,
ghmc,6,16,5.5600000000000005,0,
mikell,1,1,1.27,0,
koppel,2,2,2.17,0,
4henry,2,2,3.24,0,
samoa,2,3,1.02,0,
remito,1,2,0.31,0,
findbtimes,1,1,0.18,0,
crocfer,1,1,0.39,0,
