word,clicks,impressions,cost,convertedClicks
ssdfww2,1,1,0.37,0,
ignored,1,1,0.72,0,
sunken,4,4,1.79,0,
hemme,1,1,0.63,0,
boileau,1,1,0.34,0,
ernie's,3,28,0.72,0,
goodner,1,1,0.69,0,
newland,1,2,0.65,0,
saltz,1,1,1.03,0,
casulties,9,15,5.45,0,
ph0nerotico,1,1,0.87,0,
$1,1,5,0.66,0,
rackheath,1,1,0.46,0,
$2,1,1,0.79,0,
carlisle,5,6,2.37,0,
organization,3,7,1.6,0,
mccandless,1,1,0.16,0,
$9,1,1,0.22,0,
wake,5,12,2.8200000000000003,0,
benjamine,1,1,0.78,0,
deegan,1,1,0.01,0,
artist,7,8,4.08,1,
simeon,1,1,0.26,0,
thatcher,1,1,0.81,0,
audio,1,2,0.81,0,
singers,1,1,0.34,0,
communication,3,3,1.73,0,
militaryrecords,13,15,19.45,0,
jhnson,1,1,0.86,0,
frasier,1,1,0.51,0,
wedding,4,4,2.43,0,
storrick,1,2,0.13,0,
dalat,1,3,0.76,0,
laying,1,4,0.56,0,
brittany,2,3,0.72,0,
revolutioonary,1,1,0.12,0,
disabled,5,6,5.55,0,
audie,1,1,0.62,0,
detter,1,2,0.33,0,
parking,1,1,0.4,0,
ourplanet,1,1,0.97,0,
52161028,1,1,0.41,0,
bettencourt,1,2,0.48,0,
halter,1,1,0.12,0,
camacho,2,4,0.79,1,
hyfte,1,2,0.54,0,
ks2,1,1,1.02,0,
dough,1,1,0.65,0,
louisberg,1,1,0.22,0,
waar,1,1,0.75,0,
kanuch,1,1,0.57,0,
knives,6,6,4.83,0,
signifacent,1,2,0.47,0,
pigeon,1,5,0.61,0,
mercatante,2,2,1.34,0,
barto,1,1,0.37,0,
colvin,1,2,0.15,0,
pframe,1,1,0.5,0,
05211957,1,1,1.89,0,
mcalavy,1,1,0.72,0,
sugg,1,1,0.53,0,
barth,2,3,1.81,0,
steps,1,1,0.79,0,
stripes,8,31,3.56,0,
tripoli,1,1,0.8,0,
agustin,1,1,1.01,0,
jabez,2,3,0.6699999999999999,0,
erik,1,1,1.97,0,
liotto,1,2,0.29,1,
mosley,2,1,1.36,0,
mosler,1,1,0.84,0,
feldmann,1,1,0.88,0,
erie,3,5,1.02,0,
bartz,2,3,1.12,0,
salva,1,1,1.05,0,
eric,8,17,6.390000000000001,0,
frosst,2,2,2.14,0,
beyer,3,9,2.9700000000000006,0,
11954,1,1,0.61,0,
395th,1,2,0.53,0,
cedarburg,1,1,0.43,0,
feinstein,1,3,0.63,0,
pictures,215,3068,118.69999999999999,1,
koy,1,1,0.43,0,
sheridan,1,9,0.4,0,
m35,1,9,0.58,0,
griffen,1,1,0.53,0,
sivoli,1,4,0.28,0,
retriver,1,1,0.94,0,
mililitary,1,1,1.2,0,
koe,1,2,0.43,0,
mccrocklin,1,1,0.32,0,
funch,1,1,0.93,0,
jacket,11,18,8.01,0,
wilhelmina,1,1,0.9,0,
seihie,1,1,1.4,0,
higgason,1,4,0.49,0,
129th,8,10,4.72,2,
brides,10,238,4.5,0,
stern,1,1,0.97,0,
barre,4,8,3.04,0,
eddington,1,1,0.14,0,
51232366,1,1,0.95,0,
barry,5,7,2.83,0,
singhupgenius,1,2,0.99,0,
m42,1,9,0.58,0,
morsello,1,1,0.41,0,
within,1,1,0.53,0,
35725422,1,2,0.59,0,
vietnamwar,10,197,4.37,0,
222nd,1,1,0.4,0,
kenturcky,1,1,0.75,0,
419th,1,1,0.38,0,
117th,9,14,5.78,0,
m18,1,1,0.91,0,
rocords,1,1,1.34,0,
atlanta,13,89,8.229999999999999,2,
576504,1,1,0.51,0,
middle,10,223,7.720000000000001,0,
swafford,1,2,0.55,0,
waer,1,1,0.83,0,
ansaldo,1,1,1.07,0,
results,9,30,4.46,0,
virgillo,1,2,0.47,0,
unknowns,3,7,2.01,0,
cinflict,1,1,0.12,0,
facebook,4,4,1.71,0,
soldirer,1,1,0.69,0,
trials,1,1,0.81,0,
