word,clicks,impressions,cost,convertedClicks,Cost/Converted Click,,word,clicks,impressions,cost,convertedClicks
ray,70,109,47.27,2,$23.63 ,,replacement,18,43,14.8,0
5,81,156,47.19,2,$23.60 ,,buddy,15,960,14.76,0
merchant,124,353,93.87,4,$23.47 ,,am,22,33,14.73,0
ca,40,62,23.43,1,$23.43 ,,familysearch,23,60,14.73,0
heritage,16,23,23.4,1,$23.40 ,,jay,13,14,14.72,0
casualty,138,813,69.98,3,$23.33 ,,personel,17,22,14.7,0
theodore,36,62,23.2,1,$23.20 ,,25,22,28,14.69,0
4th,113,264,69.56,3,$23.19 ,,tom,23,33,14.68,0
regiment,391,802,208.47,9,$23.16 ,,claude,17,24,14.65,0
men,306,563,184.8,8,$23.10 ,,guam,23,41,14.65,0
born,108,159,68.78,3,$22.93 ,,locator,16,58,14.63,0
numbers,41,99,22.82,1,$22.82 ,,gunner,24,28,14.61,0
clarence,67,114,45.45,2,$22.73 ,,alvin,20,28,14.57,0
lester,35,44,22.64,1,$22.64 ,,wartime,23,75,14.52,0
1918,44,345,22.34,1,$22.34 ,,willard,21,32,14.49,0
tec,33,77,22.2,1,$22.20 ,,pins,23,7026,14.47,0
1919,33,51,22.2,1,$22.20 ,,weekend,18,47,14.38,0
americans,85,406,44.07,2,$22.04 ,,help,24,34,14.33,0
stanley,57,101,44.06,2,$22.03 ,,canada,26,738,14.31,0
eugene,95,140,65.89,3,$21.96 ,,interview,16,48,14.29,0
tags,32,147,21.81,1,$21.81 ,,carriers,26,103,14.28,0
kenneth,95,132,65.04,3,$21.68 ,,music,24,109,14.23,0
norman,65,109,43.21,2,$21.61 ,,sailor,21,21,14.2,0
ribbons,95,7400,64.37,3,$21.46 ,,dd,12,58,14.19,0
16th,30,51,21.44,1,$21.44 ,,patriots,34,118,14.15,0
16th,30,51,21.44,1,$21.44 ,,hughes,23,37,14.12,0
era,31,364,21.44,1,$21.44 ,,corporal,26,339,14.11,0
sunk,36,88,21.42,1,$21.42 ,,colorado,21,30,14.1,0
mia,44,154,21.36,1,$21.36 ,,hunt,16,31,14.1,0
picture,36,119,21.16,1,$21.16 ,,79th,18,41,14.08,0
bernard,35,45,21.13,1,$21.13 ,,mark,19,65,14.08,0
san,35,45,21.1,1,$21.10 ,,radio,22,242,14.06,0
s,183,295,105.48,5,$21.10 ,,keith,19,27,14.05,0
troop,62,121,42.18,2,$21.09 ,,calvin,21,30,14.05,0
rogers,30,67,21.01,1,$21.01 ,,april,24,39,14.03,0
troops,109,174,62.8,3,$20.93 ,,bailey,24,47,13.98,0
ky,70,137,41.54,2,$20.77 ,,country,23,132,13.93,0
miller,69,109,41.43,2,$20.72 ,,page,23,44,13.93,0
century,58,3343,20.7,1,$20.70 ,,helmet,21,5696,13.88,0
1945,114,273,61.73,3,$20.58 ,,point,25,48,13.88,0
militia,54,74,20.47,1,$20.47 ,,series,19,38,13.86,0
